,trade_date,close,open,high,low,vol
6434,19970930,1097.383,1083.414,1100.386,1083.232,2045300.0
6435,19970929,1084.072,1106.342,1106.342,1079.34,2436154.0
6436,19970926,1109.634,1118.69,1118.941,1094.424,2741706.0
6437,19970925,1117.01,1118.369,1130.126,1106.246,4336333.0
6438,19970924,1110.012,1064.661,1110.107,1064.661,4964027.0
6439,19970923,1041.965,1096.187,1105.282,1025.13,4299589.0
6440,19970922,1103.974,1184.493,1185.1,1102.617,3062643.0
6441,19970919,1184.521,1174.769,1185.09,1168.869,2018437.0
6442,19970918,1172.366,1169.67,1181.748,1164.645,2300956.0
6443,19970917,1167.557,1188.885,1191.295,1162.243,2425953.0
6444,19970916,1187.22,1182.757,1193.847,1181.169,2651954.0
6445,19970915,1179.286,1205.901,1211.684,1175.948,3578373.0
6446,19970912,1208.697,1240.496,1247.908,1207.831,4310666.0
6447,19970911,1242.713,1260.519,1264.489,1236.113,7133641.0
6448,19970910,1256.041,1230.426,1256.041,1227.643,5390723.0
6449,19970909,1231.027,1255.181,1257.927,1230.442,4544453.0
6450,19970908,1255.229,1253.145,1257.549,1245.744,5484254.0
6451,19970905,1251.55,1250.604,1253.35,1241.217,4722780.0
6452,19970904,1251.298,1245.775,1253.153,1245.64,5447049.0
6453,19970903,1240.82,1223.621,1243.326,1223.461,5758038.0
6454,19970902,1226.303,1228.475,1232.691,1215.922,5896206.0
6455,19970901,1229.865,1224.177,1230.066,1219.101,6798216.0
6456,19970829,1221.064,1214.31,1223.071,1209.479,7318643.0
6457,19970828,1213.892,1201.059,1216.076,1194.675,6942657.0
6458,19970827,1198.513,1195.428,1199.474,1188.331,5433720.0
6459,19970826,1194.043,1186.069,1194.131,1181.243,5549792.0
6460,19970825,1184.096,1175.445,1184.334,1175.384,4539603.0
6461,19970822,1171.833,1159.386,1174.486,1156.826,4337399.0
6462,19970821,1164.545,1148.387,1165.218,1147.816,4007224.0
6463,19970820,1144.639,1135.05,1144.646,1133.742,2507383.0
